matched,code,display,definition,parent_code,parent_display,lvl1_code,lvl1_display,display_en,definition_en,lvl1_display_en,parent_display_en
6-Minuten-Gehtest,DG060205,6-Minuten-Gehtest,"Die Dokumentation beinhaltet Messwerte der Herzfrequenz, des Blutdrucks und der Sauerstoffversorgung des Blutes vor und nach dem Zurücklegen einer Strecke. Inkl.: Gehstreckentest, Anforderung 6-Minuten-Gehtest",DG0602,Funktionstests,DG,Diagnostik,6-minute walk test,"The documentation includes measurements of heart rate, blood pressure, and blood oxygenation before and after completing a distance. Includes: walking distance test, 6-minute walk test requirement",Diagnostics,Functional tests
AbschlussberichtSozialdienst,AM190204,Abschlussbericht Sozialdienst,Die Dokumentation beinhaltet einen Bericht bzw. eine Zusammenfassung eines Patientenfalls bezüglich der nachstationären Betreuung oder weiteren Behandlung.,AM1902,Sozialdienst,AM,Administration,Final report Social Services,The documentation includes a report or summary of a patient case regarding post-hospital care or further treatment.,Administration,Social services
Ambulanzbrief,AD010111,Ambulanzbrief,Die Dokumentation beinhaltet die Zusammenfassung einer ambulanten Behandlung in Briefform. Inkl.: Sprechstundenbrief,AD0101,Arztberichte,AD,Arztdokumentation,Outpatient letter,The documentation includes a summary of an outpatient treatment in written form. Includes: consultation letter,Medical documentation,Medical reports
Anamnesebogen,AU010101,Anamnesebogen,"Die Dokumentation beinhaltet medizinische, relevante Informationen zur Vorgeschichte. Inkl.: Krankengeschichte",AU0101,Aufnahmedokumente,AU,Aufnahme,Medical history form,The documentation includes relevant medical information about the patient's medical history. Including: medical history,Admission,Admission documents
AnforderungUnterlagenMD,AM190112,Anforderung Unterlagen MD,"Die Dokumentation beinhaltet eine Liste mit den zur Prüfung der Abrechnung notwendigen Unterlagen in der Klassifikation nach IHE/KDL (gem. Abschnitt 6.2, Anlage 1,eVV) oder zur Leistungsgruppen/StrOPS-Prüfung durch den Medizinischen Dienst. Exkl.: Anforderung Unterlagen",AM1901,Schriftverkehr,AM,Administration,Request Documents MD,"The documentation includes a list of the documents required for billing verification in the IHE/KDL classification (according to Section 6.2, Appendix 1, eVV) or for service group/StrOPS verification by the Medical Service. Excl.: Document request",Administration,Correspondence
Angiographiebefund,DG020102,Angiographiebefund,"Die Dokumentation beinhaltet Ergebnisse einer speziellen radiologischen Untersuchung, bei der Arterien, Venen oder Lymphbahnen bildlich dargestellt und ausgewertet werden. Inkl.: Phlebographiebefund Exkl.: Herzkatheterprotokoll",DG0201,Bildgebende Diagnostiken,DG,Diagnostik,Angiography findings,"The documentation includes the results of a special radiological examination in which arteries, veins, or lymphatic vessels are visualized and evaluated. Includes: Phlebography findings. Excludes: Cardiac catheterization protocol.",Diagnostics,Imaging diagnostics
AnmeldungAufnahme,AU010102,Anmeldung Aufnahme,Die Dokumentation beinhaltet persönliche und organisatorische Angaben zur Aufnahme. Inkl. KBV Muster PTV12,AU0101,Aufnahmedokumente,AU,Aufnahme,Registration Admission,The documentation includes personal and organizational information about the admission. Including the KBV template PTV12.,Admission,Admission documents
Anordnung/Verordnung,AD060108,Anordnung/Verordnung,"Die Dokumentation beinhaltet die Festlegung therapeutischer Maßnahmen. Inkl.: KBV Muster 63/64/65 (Verordnung spezialisierter ambulanter Palliativversorgung) Exkl.: Heil-/ Hilfsmittelverordnung, Rezept, Psychologische Therapieanordnung, Verordnung von Krankenhausbehandlung, Postoperative Verordnung, Bestrahlungsverordnung",AD0601,Fallbesprechungen,AD,Arztdokumentation,Order/Regulation,"The documentation includes the definition of therapeutic measures. Includes: KBV templates 63/64/65 (Order for specialized outpatient palliative care). Excludes: Prescriptions for medical devices/assistive devices, prescriptions, psychological therapy orders, hospital treatment orders, postoperative orders, and radiation therapy orders.",Medical documentation,Case discussions
AntragaufBetreuung,AM010202,Antrag auf Betreuung,Die Dokumentation beinhaltet eine Anfrage auf eine gesetzliche Vormundschaft durch das Gericht.,AM0102,Anträge,AM,Administration,Application for care,The documentation includes a request for legal guardianship from the court.,Administration,Applications
AntragaufRehabilitation,AM010201,Antrag auf Rehabilitation,"Die Dokumentation beinhaltet eine Anfrage an den zuständigen Kostenträger für Maßnahmen zum Erhalt oder Verbesserung des Gesundheitszustandes. Inkl.: KBV Muster 25 (Anregung einer ambulanten Vorsorgeleistung in anerkannten Kurorten), Ärztlicher Befundbericht zum AHB Antrag",AM0102,Anträge,AM,Administration,Application for rehabilitation,"The documentation includes a request to the responsible health insurance provider for measures to maintain or improve the patient's health status. Includes: KBV Form 25 (suggestion of outpatient preventive care at recognized health resorts), medical report for the AHB application.",Administration,Applications
Anästhesieaufklärungsbogen,AM010301,Anästhesieaufklärungsbogen,"Die Dokumentation beinhaltet Angaben über die Aufklärung der geplanten Anästhesie. Inkl.: Anamnese, Begleitmedikation, geplanter Eingriff, Vitaldaten, Präoperative Visite",AM0103,Aufklärungen,AM,Administration,Anesthesia information sheet,"The documentation includes information about the planned anesthesia. Including: medical history, concomitant medications, planned procedure, vital signs, and preoperative visit.",Administration,Clarifications
Anästhesieprotokollintraoperativ,VL010205,Apotheke Visitenprotokoll,Die Dokumentation beinhaltet Angaben zu pharmazeutischen Visiten mit Besprechung des aktuellen Zustandes sowie weiterer Maßnahmen bzgl. der Arzneimitteltherapie. Exkl. Visitenprotokoll,VL0102,Apothekendokumentation,VL,Verlauf,Anesthesia protocol intraoperative,"The documentation includes information on pharmaceutical visits, including a discussion of the current condition and further measures regarding drug therapy. Excl. visit log.",Course,Pharmacy documentation
Audiometriebefund,DG060102,Audiometriebefund,Die Dokumentation beinhaltet Ergebnisse über die Messung der Funktionalität des Gehörs.,DG0601,Funktionsdiagnostiken,DG,Diagnostik,Audiometry findings,The documentation includes results from the measurement of hearing functionality.,Diagnostics,Functional diagnostics
Aufenthaltsbescheinigung,AD020107,Aufenthaltsbescheinigung,"Die Dokumentation beinhaltet den Nachweis, in welchem Zeitraum der stationäre Aufenthalt stattgefunden hat.",AD0201,Bescheinigungen,AD,Arztdokumentation,Residence certificate,The documentation includes proof of the period during which the inpatient stay took place.,Medical documentation,Certificates
Aufnahmebogen,AU010103,Aufnahmebogen,"Die Dokumentation beinhaltet den Befund des aktuellen Zustands bei Aufnahme und Informationen zur Vorgeschichte. Inkl.: Aufahmebefund, Aufnahmeblatt, Krankenblatt",AU0101,Aufnahmedokumente,AU,Aufnahme,Admission form,"The documentation includes the findings of the current condition upon admission and information on the patient's medical history. Includes: admission report, admission form, medical record",Admission,Admission documents
Aufwachraumprotokoll,OP010102,Aufwachraumprotokoll,"Die Dokumentation beinhaltet Angaben über die Aufwachphase nach einem Eingriff, Operation.",OP0101,Anästhesie,OP,Operation,Recovery room protocol,The documentation includes information about the waking phase after a procedure or operation.,operation,anesthesia
